time,Latitude,,Longitude,
235728,4202.1142,N,7141.7853,W
235729,4202.1142,N,7141.7853,W
235730,4202.1142,N,7141.7853,W
235731,4202.1142,N,7141.7853,W
235732,4202.1142,N,7141.7853,W
235733,4202.1142,N,7141.7853,W
235734,4202.1142,N,7141.7853,W
235735,4202.1142,N,7141.7853,W
235736,4202.1142,N,7141.7853,W
235737,4202.1142,N,7141.7853,W
235738,4202.1142,N,7141.7853,W
235739,4202.1142,N,7141.7853,W
235740,4202.1142,N,7141.7853,W
235741,4202.1142,N,7141.7853,W
235742,4202.1142,N,7141.7853,W
235743,4202.1142,N,7141.7853,W
235744,4202.1142,N,7141.7853,W
235745,4202.1142,N,7141.7853,W
235746,4202.1142,N,7141.7853,W
235747,4202.1142,N,7141.7853,W
235748,4202.1142,N,7141.7853,W
235749,4202.1142,N,7141.7853,W
235750,4202.1142,N,7141.7853,W
235751,4202.1142,N,7141.7853,W
235752,4202.1142,N,7141.7853,W
235753,4202.1142,N,7141.7853,W
235754,4202.1142,N,7141.7853,W
235755,4202.1142,N,7141.7853,W
235756,4202.1142,N,7141.7853,W
235757,4202.1142,N,7141.7853,W
235758,4202.1142,N,7141.7853,W
235759,4202.1142,N,7141.7853,W
235800,4202.1142,N,7141.7853,W
235801,4202.1142,N,7141.7853,W
235802,4202.1142,N,7141.7853,W
235803,4202.1142,N,7141.7853,W
235804,4202.1142,N,7141.7853,W
235805,4202.1142,N,7141.7853,W
235806,4202.1142,N,7141.7853,W
235807,4202.1142,N,7141.7853,W
235808,4202.1142,N,7141.7853,W
235809,4202.1142,N,7141.7853,W
235810,4202.1142,N,7141.7853,W
235811,4202.1142,N,7141.7853,W
235812,4202.1142,N,7141.7853,W
235813,4202.1142,N,7141.7853,W
235814,4202.1142,N,7141.7853,W
235815,4202.1142,N,7141.7853,W
235816,4202.1142,N,7141.7853,W
235817,4202.1142,N,7141.7853,W
235818,4202.1142,N,7141.7853,W
235819,4202.1142,N,7141.7853,W
235820,4202.1142,N,7141.7853,W
235821,4202.1142,N,7141.7853,W
235822,4202.1142,N,7141.7853,W
235823,4202.1142,N,7141.7853,W
235824,4202.1142,N,7141.7853,W
235825,4202.1142,N,7141.7853,W
235826,4202.1142,N,7141.7853,W
235827,4202.1142,N,7141.7853,W
235828,4202.1142,N,7141.7853,W
235829,4202.1142,N,7141.7853,W
235830,4202.1142,N,7141.7853,W
235831,4202.1142,N,7141.7853,W
235832,4202.1142,N,7141.7853,W
235833,4202.1142,N,7141.7853,W
235834,4202.1142,N,7141.7853,W
235835,4202.1142,N,7141.7853,W
235836,4202.1142,N,7141.7853,W
235837,4202.1142,N,7141.7853,W
235838,4202.1142,N,7141.7853,W
235839,4202.1142,N,7141.7853,W
235840,4202.1142,N,7141.7853,W
235841,4202.1142,N,7141.7853,W
235842,4202.1142,N,7141.7853,W
235843,4202.1142,N,7141.7853,W
235844,4202.1142,N,7141.7853,W
235845,4202.1142,N,7141.7853,W
235846,4202.1142,N,7141.7853,W
235847,4202.1142,N,7141.7853,W
235848,4202.1142,N,7141.7853,W
235849,4202.1142,N,7141.7853,W
235850,4202.1142,N,7141.7853,W
235851,4202.1142,N,7141.7853,W
235852,4202.1142,N,7141.7853,W
235853,4202.1142,N,7141.7853,W
235854,4202.1142,N,7141.7853,W
235855,4202.1142,N,7141.7853,W
235856,4202.1142,N,7141.7853,W
235857,4202.1142,N,7141.7853,W
235858,4202.1142,N,7141.7853,W
235859,4202.1142,N,7141.7853,W
235900,4202.1142,N,7141.7853,W
235901,4202.1142,N,7141.7853,W
235902,4202.1142,N,7141.7853,W
235903,4202.1142,N,7141.7853,W
235904,4202.1142,N,7141.7853,W
235905,4202.1142,N,7141.7853,W
235906,4202.1142,N,7141.7853,W
235907,4202.1142,N,7141.7853,W
235908,4202.1142,N,7141.7853,W
235909,4202.1142,N,7141.7853,W
235910,4202.1142,N,7141.7853,W
235911,4202.1142,N,7141.7853,W
235912,4202.1142,N,7141.7853,W
235913,4202.1142,N,7141.7853,W
235914,4202.1142,N,7141.7853,W
235915,4202.1142,N,7141.7853,W
235916,4202.1142,N,7141.7853,W
235917,4202.1142,N,7141.7853,W
235918,4202.1142,N,7141.7853,W
235919,4202.1142,N,7141.7853,W
235920,4202.1142,N,7141.7853,W
235921,4202.1142,N,7141.7853,W
235922,4202.1142,N,7141.7853,W
235923,4202.1142,N,7141.7853,W
235924,4202.1142,N,7141.7853,W
235925,4202.1142,N,7141.7853,W
235926,4202.1142,N,7141.7853,W
235927,4202.1142,N,7141.7853,W
235928,4202.1142,N,7141.7853,W
235929,4202.1142,N,7141.7853,W
235930,4202.1142,N,7141.7853,W
235931,4202.1142,N,7141.7853,W
235932,4202.1142,N,7141.7853,W
235933,4202.1142,N,7141.7853,W
235934,4202.1142,N,7141.7853,W
235935,4202.1142,N,7141.7853,W
235936,4202.1142,N,7141.7853,W
235937,4202.1142,N,7141.7853,W
235938,4202.1142,N,7141.7853,W
235939,4202.1142,N,7141.7853,W
235940,4202.1142,N,7141.7853,W
235941,4202.1142,N,7141.7853,W
235942,4202.1142,N,7141.7853,W
235943,4202.1142,N,7141.7853,W
235944,4202.1142,N,7141.7853,W
235945,4202.1142,N,7141.7853,W
235946,4202.1142,N,7141.7853,W
235947,4202.1142,N,7141.7853,W
235948,4202.1142,N,7141.7853,W
235949,4202.1142,N,7141.7853,W
235950,4202.1142,N,7141.7853,W
235951,4202.1142,N,7141.7853,W
235952,4202.1142,N,7141.7853,W
235953,4202.1142,N,7141.7853,W
235954,4202.1142,N,7141.7853,W
235955,4202.1142,N,7141.7853,W
235956,4202.1142,N,7141.7853,W
235957,4202.1142,N,7141.7853,W
235958,4202.1142,N,7141.7853,W
235959,4202.1142,N,7141.7853,W
0,4202.1142,N,7141.7853,W
1,4202.1142,N,7141.7853,W
2,4202.1142,N,7141.7853,W
3,4202.1142,N,7141.7853,W
4,4202.1142,N,7141.7853,W
5,4202.1142,N,7141.7853,W
6,4202.1142,N,7141.7853,W
7,4202.1142,N,7141.7853,W
8,4202.1142,N,7141.7853,W
9,4202.1142,N,7141.7853,W
10,4202.1142,N,7141.7853,W
11,4202.1142,N,7141.7853,W
12,4202.1142,N,7141.7853,W
13,4202.1142,N,7141.7853,W
14,4202.1142,N,7141.7853,W
15,4202.1142,N,7141.7853,W
16,4202.1142,N,7141.7853,W
17,4202.1142,N,7141.7853,W
18,4202.1142,N,7141.7853,W
19,4202.1142,N,7141.7853,W
20,4202.1142,N,7141.7853,W
21,4202.1142,N,7141.7853,W
22,4202.1142,N,7141.7853,W
